Название;Цена;"Ссылка на страницу товара";"Ссылка на картинку товара";"Категория товара"
"Bertoni (Lorelli) Zippy 2 Plus Rocker";113;http://127.0.0.1/product/bertoni-zippy-2-plus-rocker;http://127.0.0.1/assets/images/catalog/big/Detskiy_manezh_Bertoni_Zippy_2_Plus_Rocker_cvet_Rose___Gray_2014.jpg;Манежи
"Красная звезда Марина (C 702)";230;http://127.0.0.1/product/krasnaya-zvezda-marina--c-702-;http://127.0.0.1/assets/images/catalog/big/Detskaya_krovatka_Krasnaya_Zvezda_Marina__C_702__cvet_Belyy.jpg;Кроватки
"Christ Tula";260;http://127.0.0.1/product/christ-tula;http://127.0.0.1/assets/images/catalog/big/Zimniy_konvert_Christ_Tula_cvet_Oranzhevyy.jpg;Аксессуары
"Cybex Onyx";290;http://127.0.0.1/product/cybex-onyx---;http://127.0.0.1/assets/images/catalog/big/Progulochnaya_kolyaska_Cybex_Onyx_cvet_Lollipop_2014.jpg;Коляски
"Cybex Ruby";190;http://127.0.0.1/product/cybex--ruby;http://127.0.0.1/assets/images/catalog/big/Progulochnaya_kolyaska_Cybex__Ruby_cvet_Water_colours.jpg;Коляски
"Cybex Topaz";300;http://127.0.0.1/product/cybex-topaz;http://127.0.0.1/assets/images/catalog/big/Progulochnaya_kolyaska_Cybex_Topaz_cvet_Candied_Nuts.jpg;Коляски
"Cybex Twinyx";580;http://127.0.0.1/product/cybex-twinyx-;http://127.0.0.1/assets/images/catalog/big/Progulochnaya_kolyaska_dlya_dvoyni_Cybex_Twinyx_cvet_Water_Colours.jpg;Коляски
"Гандылян Анжелика (универсальный маятник)";398;http://127.0.0.1/product/gandylyan-anzhelika--prodolnyy-mayatnik-;http://127.0.0.1/assets/images/catalog/big/Detskaya_krovatka_Gandylyan_Anzhelika__prodolnyy_mayatnik__cvet_Naturalnyy.jpg;Кроватки
"Adamex Pajero (2 в 1)";360;http://127.0.0.1/product/adamex-pajero-2-v-1;http://127.0.0.1/assets/images/catalog/big/Detskaya_kolyaska_Adamex_Pajero__2_v_1__cvet_4m.png;Коляски
"Adamex Pajero Len (2 в 1)";368;http://127.0.0.1/product/adamex-pajero-len-2-v-1;http://127.0.0.1/assets/images/catalog/big/Universalnaya_kolyaska_Adamex_Pajero_Len__2_v_1__cvet_402L.png;Коляски
"Adamex Jogger Alu (2 в 1)";355;http://127.0.0.1/product/adamex-jogger-alu-2-v-1;http://127.0.0.1/assets/images/catalog/big/Universalnaya_kolyaska_Adamex_Jogger__2_v_1__cvet_Len_401L.png;Коляски
"Adamex Jogger Sport (2 в 1)";347;http://127.0.0.1/product/adamex-jogger-sport-2-v-1;http://127.0.0.1/assets/images/catalog/big/Universalnaya_kolyaska_Adamex_Jogger_Sport__2_v_1__cvet_29m_1.png;Коляски
"Adamex Senso (2 в 1)";315;http://127.0.0.1/product/adamex-senso-2-v-1;http://127.0.0.1/assets/images/catalog/big/Universalnaya_kolyaska_Adamex_Senso__2_v_1__cvet_32M.png;Коляски
"Adamex Cosmos (2 в 1)";315;http://127.0.0.1/product/adamex-cosmos-2-v-1;http://127.0.0.1/assets/images/catalog/big/Universalnaya_kolyaska_Adamex_Cosmos__2_V_1__cvet_9M.png;Коляски
"Perina София (7 предметов)";99;http://127.0.0.1/product/perina-sofiya--7-predmetov-;http://127.0.0.1/assets/images/catalog/big/Komplekt_v_krovatku_Perina_Sofiya__7_predmetov__cvet_Igrushki.jpg;"Постельные принадлежности"
"Perina София (6 предметов)";84;http://127.0.0.1/product/perina-sofiya--6-predmetov-;http://127.0.0.1/assets/images/catalog/big/Komplekt_v_krovatku_Perina_Sofiya__7_predmetov__cvet_Igrushki_1.jpg;"Постельные принадлежности"
"Perina София (4 предмета)";60;http://127.0.0.1/product/perina-sofiya--4-predmeta-;http://127.0.0.1/assets/images/catalog/big/Komplekt_v_krovatku_Perina_Sofiya__4_predmeta__cvet_Pchyolki.jpg;"Постельные принадлежности"
"Perina София (3 предмета)";27;http://127.0.0.1/product/perina-sofiya-3-predmeta;http://127.0.0.1/assets/images/catalog/big/Postelnoe_bele_Perina_Sofiya__4_predmeta__cvet_Igrushki.jpg;"Постельные принадлежности"
"Perina Глория (7 предметов)";135;http://127.0.0.1/product/perina-gloriya--7-predmetov-;http://127.0.0.1/assets/images/catalog/big/Komplekt_v_krovatku_Perina_Gloriya__7_predmetov__cvet_Hallo.jpg;"Постельные принадлежности"
"Perina Глория (6 предметов)";109;http://127.0.0.1/product/perina-gloriya--6-predmetov-;http://127.0.0.1/assets/images/catalog/big/Komplekt_v_krovatku_Perina_Gloriya__6_predmetov__cvet_Happy_Days.jpg;"Постельные принадлежности"
"Perina Тиффани (7 предметов)";121;http://127.0.0.1/product/perina-tiffani--7-predmetov-;http://127.0.0.1/assets/images/catalog/big/Komplekt_v_krovatku_Perina_Tiffani__7_predmetov__cvet_Nezhenka_goluboy.jpg;"Постельные принадлежности"
"Perina Тиффани (6 предметов)";101;http://127.0.0.1/product/perina-tiffani--6-predmetov-;http://127.0.0.1/assets/images/catalog/big/Komplekt_v_krovatku_Perina_Tiffani__6_predmetov__cvet_Cvety.jpg;"Постельные принадлежности"
"Perina Тиффани (4 предмета)";77;http://127.0.0.1/product/perina-tiffani--4-predmeta-;http://127.0.0.1/assets/images/catalog/big/Komplekt_v_krovatku_Perina_Tiffani__4_predmeta__cvet_Nezhenka_rozovyy.jpg;"Постельные принадлежности"
"Perina Тиффани (3 предмета)";31;http://127.0.0.1/product/perina-tiffani--3-predmeta-;http://127.0.0.1/assets/images/catalog/big/Postelnoe_bele_Perina_Tiffani__3_predmeta__cvet_Cvety.jpg;"Постельные принадлежности"
"Perina Венеция (7 предметов)";130;http://127.0.0.1/product/perina-veneciya--7-predmetov-;http://127.0.0.1/assets/images/catalog/big/Komplekt_v_krovatku_Perina_Veneciya__7_predmetov__cvet_Lapushki_salatovyy.jpg;"Постельные принадлежности"
"Perina Венеция (6 предметов)";106;http://127.0.0.1/product/perina-veneciya--6-predmetov-;http://127.0.0.1/assets/images/catalog/big/Komplekt_v_krovatku_Perina_Veneciya__6_predmetov__cvet_Lapushki_goluboy.jpg;"Постельные принадлежности"
"Perina Венеция (4 предмета)";80;http://127.0.0.1/product/perina-veneciya--4-predmeta-;http://127.0.0.1/assets/images/catalog/big/Komplekt_v_krovatku_Perina_Veneciya__4_predmeta__cvet_Lapushki_bezhevyy.jpg;"Постельные принадлежности"
"Perina Венеция (3 предмета)";36;http://127.0.0.1/product/perina-veneciya--3-predmeta-;http://127.0.0.1/assets/images/catalog/big/Postelnoe_bele_Perina_Veneciya__3_predmeta__cvet_3_druga.jpg;"Постельные принадлежности"
"Perina Аманда (6 предметов)";86;http://127.0.0.1/product/perina-amanda--6-predmetov-;http://127.0.0.1/assets/images/catalog/big/Komplekt_v_krovatku_Perina_Amanda__6_predmetov__cvet_Nochka_golubaya.jpg;"Постельные принадлежности"
"Perina Аманда (4 предмета)";62;http://127.0.0.1/product/perina-amanda--4-predmeta-;http://127.0.0.1/assets/images/catalog/big/Komplekt_v_krovatku_Perina_Amanda__4_predmeta__cvet_Nochka_rozovaya.jpg;"Постельные принадлежности"
"Perina Аманда (3 предмета)";26;http://127.0.0.1/product/perina-amanda--3-predmeta-;http://127.0.0.1/assets/images/catalog/big/Postelnoe_bele_Perina_Amanda__3_predmeta__cvet_Nochka_salatovaya.jpg;"Постельные принадлежности"
